ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
5,0,0,0,NoFeedback,TRUE,0,4.399994,9.814774,3.949814,0.0344511,0.0235751,0.01401488,1.397568,TRUE,1,FALSE,9.791489,28,Male
5,0,1,1,NoFeedback,TRUE,0,4.011108,10.90622,5.409348,0.02295892,0.01687022,0.007867177,0.9916534,TRUE,1,FALSE,10.88235,28,Male
5,0,2,2,NoFeedback,FALSE,0,6.866669,12.07211,3.881393,0.02283139,0.01901376,0.008758799,3.85141,TRUE,1,FALSE,12.0472,28,Male
5,0,3,3,NoFeedback,TRUE,0,4.077774,8.918213,3.375824,0.03223488,0.02195219,0.01251409,1.067505,TRUE,1,FALSE,8.894287,28,Male
5,0,4,4,NoFeedback,TRUE,0,3.811096,7.951935,2.602127,0.05457242,0.0257092,0.01655281,0.7934418,TRUE,1,FALSE,7.927567,28,Male
5,0,5,5,NoFeedback,FALSE,0,3.85556,8.052002,2.583496,0.02235463,0.01789929,0.008766228,0.8414612,TRUE,1,FALSE,8.027634,28,Male
5,0,6,6,NoFeedback,TRUE,0,3.933334,9.640396,4.131393,0.01706674,0.01359318,0.005152284,0.9235992,TRUE,1,FALSE,9.616608,28,Male
5,0,7,7,NoFeedback,FALSE,0,3.688873,7.207611,2.124756,0.0223045,0.01729844,0.008087149,0.6713562,TRUE,1,FALSE,7.183624,28,Male
5,0,8,8,NoFeedback,FALSE,0,3.655548,7.019257,1.783539,0.01702448,0.01316665,0.002986455,0.6413269,TRUE,1,FALSE,6.99411,28,Male
5,0,9,9,NoFeedback,TRUE,0,3.688904,7.407623,2.131165,0.03882472,0.02214282,0.01199911,0.6775513,TRUE,1,FALSE,7.383698,28,Male
5,0,10,10,NoFeedback,FALSE,0,3.711121,7.452179,2.145599,0.02422551,0.0201017,0.01093419,0.6923828,TRUE,1,FALSE,7.427765,28,Male
5,0,11,11,NoFeedback,FALSE,0,3.955566,7.774719,2.19342,0.02516226,0.01836743,0.009285294,0.9401245,TRUE,1,FALSE,7.750183,28,Male
5,1,0,12,Visual,FALSE,0,3.833313,8.273956,2.879089,0.01706897,0.01151963,0.003133855,0.8144531,TRUE,1,FALSE,8.251099,28,Male
5,1,1,13,Visual,TRUE,0,3.899994,8.684692,3.271667,0.0139491,0.009124973,0.003273644,0.8857117,TRUE,1,FALSE,8.660858,28,Male
5,1,2,14,Visual,FALSE,0,3.888885,8.740479,3.108978,0.01458265,0.01282068,0.00410111,0.8782349,TRUE,1,FALSE,8.7164,28,Male
5,1,3,15,Visual,FALSE,0,3.788879,8.94046,3.534821,0.01391222,0.01008746,0.003832557,0.7710876,TRUE,1,FALSE,8.916473,28,Male
5,1,4,16,Visual,TRUE,0,3.755554,8.140564,2.805634,0.0127381,0.009108707,0.002785534,0.7417297,TRUE,1,FALSE,8.116608,28,Male
5,1,5,17,Visual,TRUE,0,3.71109,7.841217,2.464874,0.009844722,0.007764879,0.004480184,0.7007446,TRUE,1,FALSE,7.817047,28,Male
5,1,6,18,Visual,FALSE,0,3.866669,8.407257,2.835022,0.01127077,0.009620965,0.00309055,0.8486328,TRUE,1,FALSE,8.383606,28,Male
5,1,7,19,Visual,FALSE,0,4.044464,9.451324,3.905731,0.03100901,0.02393051,0.01201889,1.031128,TRUE,1,FALSE,9.427551,28,Male
5,1,8,20,Visual,TRUE,0,3.766663,8.140747,2.698761,0.00918239,0.006770671,0.009963216,0.7456665,TRUE,1,FALSE,8.117157,28,Male
5,1,9,21,Visual,TRUE,0,4.266663,8.851624,3.057739,0.01786951,0.01399378,0.006081392,1.24942,TRUE,1,FALSE,8.828125,28,Male
5,1,10,22,Visual,TRUE,0,3.877777,8.085571,2.406372,0.01572918,0.01041446,0.00461342,0.8641968,TRUE,1,FALSE,8.061707,28,Male
5,1,11,23,Visual,FALSE,0,3.611115,7.829559,2.578827,0.0124169,0.008954566,0.004101514,0.6014709,TRUE,1,FALSE,7.805481,28,Male
5,2,0,24,Electrotactile,TRUE,0,3.744446,8.76297,3.440308,0.01012155,0.00782229,0.007643476,0.7320251,TRUE,1,FALSE,8.739716,28,Male
5,2,1,25,Electrotactile,FALSE,0,3.722229,8.01889,2.74411,0.01376658,0.01198188,0.004458797,0.7022095,TRUE,1,FALSE,7.995178,28,Male
5,2,2,26,Electrotactile,FALSE,0,3.544434,7.085388,1.936157,0.003117215,0.002809029,0.01098067,0.5276794,TRUE,1,FALSE,7.061523,28,Male
5,2,3,27,Electrotactile,TRUE,0,3.844452,8.1073,2.617432,0.01388719,0.01094071,0.004042389,0.8311768,TRUE,1,FALSE,8.083466,28,Male
5,2,4,28,Electrotactile,TRUE,1,4.188904,7.963684,2.154266,0.01379559,0.01074562,0.005093492,1.201355,TRUE,1,FALSE,7.93985,28,Male
5,2,5,29,Electrotactile,TRUE,0,4.100006,8.551422,2.813782,0.02260841,0.01897686,0.01006581,1.082611,TRUE,1,FALSE,8.527222,28,Male
5,2,6,30,Electrotactile,FALSE,0,4.199982,8.64035,2.839905,0.01612093,0.01276423,0.005128893,1.187012,TRUE,1,FALSE,8.617035,28,Male
5,2,7,31,Electrotactile,FALSE,0,3.877777,8.240723,2.699188,0.0268241,0.02203546,0.01222501,0.8574524,TRUE,1,FALSE,8.217102,28,Male
5,2,8,32,Electrotactile,FALSE,0,3.85556,8.107483,2.625244,0.02413236,0.0204684,0.01102272,0.8387451,TRUE,1,FALSE,8.08374,28,Male
5,2,9,33,Electrotactile,FALSE,0,3.900024,8.629669,2.928772,0.02361024,0.01930861,0.009393726,0.8868713,TRUE,1,FALSE,8.605896,28,Male
5,2,10,34,Electrotactile,TRUE,0,4.211121,8.296021,2.481689,0.02459879,0.01759016,0.005002226,1.190735,TRUE,1,FALSE,8.27243,28,Male
5,2,11,35,Electrotactile,TRUE,0,3.666656,8.362915,3.047363,0.01957676,0.01407338,0.005259159,0.6503296,TRUE,1,FALSE,8.338409,28,Male
5,3,0,36,Both,TRUE,0,4.111084,7.885559,2.299316,0.01520774,0.01202746,0.003788149,1.09137,TRUE,1,FALSE,7.862549,28,Male
5,3,1,37,Both,FALSE,0,3.788879,7.640991,2.325867,0.01130463,0.007408707,0.003543779,0.772644,TRUE,1,FALSE,7.617432,28,Male
5,3,2,38,Both,TRUE,0,3.733337,7.841064,2.39624,0.01127291,0.008637949,0.002675865,0.7201538,TRUE,1,FALSE,7.816895,28,Male
5,3,3,39,Both,TRUE,0,3.666687,8.207275,2.866272,0.008970805,0.006728158,0.005853972,0.6466675,TRUE,1,FALSE,8.18396,28,Male
5,3,4,40,Both,TRUE,0,3.688904,8.429749,3.03656,0.01207384,0.01026946,0.003433758,0.6726685,TRUE,1,FALSE,8.405945,28,Male
5,3,5,41,Both,FALSE,0,3.766663,8.018372,2.651611,0.01132894,0.00841417,0.003454878,0.7541504,TRUE,1,FALSE,7.994934,28,Male
5,3,6,42,Both,TRUE,0,3.766663,7.807739,2.399475,0.01002592,0.00678,0.004067984,0.74646,TRUE,1,FALSE,7.782898,28,Male
5,3,7,43,Both,FALSE,0,3.633301,8.107727,2.802979,0.009952092,0.00731602,0.004070995,0.6166382,TRUE,1,FALSE,8.083862,28,Male
5,3,8,44,Both,FALSE,0,3.988892,7.874146,2.306458,0.01039127,0.008203989,0.002577965,0.975708,TRUE,1,FALSE,7.850769,28,Male
5,3,9,45,Both,FALSE,0,3.799988,9.373535,4.043518,0.01232958,0.007516861,0.003563133,0.7801514,TRUE,1,FALSE,9.349365,28,Male
5,3,10,46,Both,FALSE,0,3.900024,8.073914,2.480896,0.01075127,0.007511373,0.005026295,0.883728,TRUE,1,FALSE,8.050293,28,Male
5,3,11,47,Both,TRUE,0,3.755554,8.140747,2.784729,0.01170232,0.009936712,0.002253858,0.742981,TRUE,1,FALSE,8.116638,28,Male
5,4,0,48,NoFeedback,FALSE,0,3.811096,15.15924,9.872253,0.02135849,0.01430857,0.006412435,0.800293,TRUE,1,FALSE,15.1369,28,Male
5,4,1,49,NoFeedback,FALSE,0,3.799988,7.363403,1.990051,0.02433244,0.01626411,0.007024399,0.781311,TRUE,1,FALSE,7.339783,28,Male
5,4,2,50,NoFeedback,FALSE,0,3.700012,6.941467,1.704529,0.02305926,0.01949584,0.01049423,0.6846313,TRUE,1,FALSE,6.918152,28,Male
5,4,3,51,NoFeedback,FALSE,0,3.85553,7.585388,2.207642,0.03485982,0.02575045,0.01597977,0.8432617,TRUE,1,FALSE,7.561401,28,Male
5,4,4,52,NoFeedback,FALSE,0,3.722229,7.541077,2.177734,0.02139327,0.01782434,0.008999193,0.7023315,TRUE,1,FALSE,7.517761,28,Male
5,4,5,53,NoFeedback,TRUE,0,3.855591,7.874146,2.44751,0.02156896,0.01760517,0.008866144,0.8391113,TRUE,1,FALSE,7.850708,28,Male
5,4,6,54,NoFeedback,TRUE,0,3.911133,8.02948,2.506836,0.01360587,0.01164839,0.003696148,0.8982544,TRUE,1,FALSE,8.006042,28,Male
5,4,7,55,NoFeedback,TRUE,0,3.877747,7.940979,2.35498,0.0178712,0.01389359,0.00549532,0.8574829,TRUE,1,FALSE,7.917236,28,Male
5,4,8,56,NoFeedback,TRUE,0,3.688843,7.485657,2.158264,0.01865562,0.01360585,0.004663244,0.671936,TRUE,1,FALSE,7.461853,28,Male
5,4,9,57,NoFeedback,FALSE,0,3.822205,7.663269,2.239624,0.02025063,0.0149988,0.006571082,0.8084106,TRUE,1,FALSE,7.639709,28,Male
5,4,10,58,NoFeedback,TRUE,0,3.822266,7.65155,2.154236,0.01804207,0.01542447,0.006797469,0.8120728,TRUE,1,FALSE,7.628235,28,Male
5,4,11,59,NoFeedback,TRUE,0,3.744446,7.374878,1.990601,0.02039105,0.01452723,0.006496941,0.7260132,TRUE,1,FALSE,7.351501,28,Male
5,5,0,60,Visual,FALSE,0,4.033325,7.476501,1.965271,0.009853892,0.007680229,0.003507259,1.023071,TRUE,1,FALSE,7.453186,28,Male
5,5,1,61,Visual,FALSE,0,3.700012,7.774292,2.413086,0.01126766,0.008051315,0.002979474,0.682251,TRUE,1,FALSE,7.750427,28,Male
5,5,2,62,Visual,TRUE,0,3.666687,7.629944,2.394348,0.009911401,0.006990849,0.003372795,0.6522827,TRUE,1,FALSE,7.606262,28,Male
5,5,3,63,Visual,TRUE,0,3.544434,7.296631,2.153381,0.01012279,0.007838828,0.002988497,0.5333862,TRUE,1,FALSE,7.273132,28,Male
5,5,4,64,Visual,TRUE,0,3.622192,6.663757,1.567993,0.0102768,0.006585769,0.003748079,0.6032104,TRUE,1,FALSE,6.640259,28,Male
5,5,5,65,Visual,FALSE,0,3.56665,6.830688,1.737427,0.01301035,0.01068896,0.002331135,0.5507202,TRUE,1,FALSE,6.80719,28,Male
5,5,6,66,Visual,FALSE,0,3.688904,7.329529,2.184753,0.01102397,0.008534517,0.002801921,0.6761475,TRUE,1,FALSE,7.306824,28,Male
5,5,7,67,Visual,FALSE,0,3.788879,7.008057,1.677185,0.01305154,0.008863852,0.00276965,0.7792358,TRUE,1,FALSE,6.984558,28,Male
5,5,8,68,Visual,TRUE,0,3.777771,7.052429,1.757996,0.008959705,0.006143916,0.004852253,0.7603149,TRUE,1,FALSE,7.028625,28,Male
5,5,9,69,Visual,TRUE,0,3.600037,7.463257,2.272339,0.01095361,0.009024162,0.002693284,0.5861206,TRUE,1,FALSE,7.440308,28,Male
5,5,10,70,Visual,FALSE,0,3.622253,7.396851,2.353577,0.008049116,0.005985135,0.004728366,0.6113281,TRUE,1,FALSE,7.373291,28,Male
5,5,11,71,Visual,TRUE,0,3.699951,7.018799,1.768066,0.01089092,0.007685533,0.003300615,0.6810303,TRUE,1,FALSE,6.995728,28,Male
5,6,0,72,Electrotactile,TRUE,0,3.666687,7.497009,2.320068,0.0138387,0.008280084,0.003608936,0.6557617,TRUE,1,FALSE,7.474182,28,Male
5,6,1,73,Electrotactile,TRUE,0,3.777771,7.696472,2.434448,0.007283924,0.005908102,0.004779454,0.7590332,TRUE,1,FALSE,7.672791,28,Male
5,6,2,74,Electrotactile,TRUE,0,3.588867,7.352539,2.237549,0.01175325,0.009173517,0.003361114,0.5734863,TRUE,1,FALSE,7.328857,28,Male
5,6,3,75,Electrotactile,FALSE,0,3.644409,7.252014,2.141296,0.008625346,0.007310559,0.004036822,0.6323242,TRUE,1,FALSE,7.228577,28,Male
5,6,4,76,Electrotactile,FALSE,0,3.5,7.463318,2.422302,0.01012935,0.008652109,0.004262418,0.4802856,TRUE,1,FALSE,7.439453,28,Male
5,6,5,77,Electrotactile,TRUE,0,3.522217,6.996887,1.992371,0.01304749,0.01020859,0.002904149,0.5056152,TRUE,1,FALSE,6.973328,28,Male
5,6,6,78,Electrotactile,FALSE,0,3.555603,7.197021,2.128845,0.01032047,0.008605906,0.002659604,0.5422363,TRUE,1,FALSE,7.173401,28,Male
5,6,7,79,Electrotactile,TRUE,0,3.555542,6.952209,1.865112,0.01362726,0.01036719,0.003597679,0.5452271,TRUE,1,FALSE,6.928772,28,Male
5,6,8,80,Electrotactile,FALSE,0,3.64447,7.574402,2.368408,0.01133102,0.009674954,0.002988227,0.6264038,TRUE,1,FALSE,7.531799,28,Male
5,6,9,81,Electrotactile,TRUE,0,3.588867,7.430481,2.260681,0.01172269,0.0100211,0.001794768,0.5740967,TRUE,1,FALSE,7.406738,28,Male
5,6,10,82,Electrotactile,FALSE,0,3.577759,7.251831,2.163879,0.01527831,0.01173488,0.003854949,0.5664673,TRUE,1,FALSE,7.228088,28,Male
5,6,11,83,Electrotactile,FALSE,0,3.555542,7.241028,2.167358,0.01163611,0.01022079,0.001507314,0.536377,TRUE,1,FALSE,7.217651,28,Male
5,7,0,84,Both,FALSE,0,3.811035,7.697021,2.408569,0.009436021,0.007624249,0.004204316,0.7996826,TRUE,1,FALSE,7.673584,28,Male
5,7,1,85,Both,TRUE,0,3.644531,7.818726,2.634155,0.007027144,0.00490642,0.006381819,0.6256104,TRUE,1,FALSE,7.794678,28,Male
5,7,2,86,Both,TRUE,0,3.644531,7.330078,2.204346,0.01060267,0.007885062,0.003156399,0.6287842,TRUE,1,FALSE,7.306763,28,Male
5,7,3,87,Both,TRUE,0,3.700073,7.675049,2.49646,0.0121265,0.00861938,0.003519512,0.6878662,TRUE,1,FALSE,7.650879,28,Male
5,7,4,88,Both,FALSE,0,3.599976,7.695557,2.610962,0.007776894,0.00576028,0.005808543,0.5802002,TRUE,1,FALSE,7.67334,28,Male
5,7,5,89,Both,FALSE,0,3.511108,7.729858,2.61438,0.007847856,0.005998312,0.007640494,0.494873,TRUE,1,FALSE,7.706299,28,Male
5,7,6,90,Both,TRUE,0,3.600098,7.530273,2.329102,0.009505709,0.006688781,0.005617741,0.5871582,TRUE,1,FALSE,7.506348,28,Male
5,7,7,91,Both,TRUE,0,3.688843,7.163452,1.899048,0.007089652,0.003589909,0.01250152,0.6679688,TRUE,1,FALSE,7.139648,28,Male
5,7,8,92,Both,TRUE,0,3.611084,7.796265,2.569092,0.008415759,0.006361081,0.005017433,0.59375,TRUE,1,FALSE,7.773315,28,Male
5,7,9,93,Both,FALSE,0,3.611206,7.50769,2.316895,0.008874964,0.006333954,0.005977047,0.597168,TRUE,1,FALSE,7.484009,28,Male
5,7,10,94,Both,FALSE,0,3.577759,7.685547,2.509277,0.009630344,0.006606597,0.004886962,0.5667725,TRUE,1,FALSE,7.661133,28,Male
5,7,11,95,Both,FALSE,0,3.633301,7.851929,2.579224,0.009125854,0.006155286,0.005211473,0.6151123,TRUE,1,FALSE,7.827881,28,Male
